syscall_nr,name,status,notes
0,read,implemented,VFS-backed; ext4 read path goes through `kernel::pagecache` (4 KiB inode-id-keyed LRU). Pipe / socket / fifo reads are signal-interruptible — return `-EINTR` on a deliverable signal during park.
1,write,implemented,VFS-backed; ext4 `write_at` invalidates overlapping page-cache entries. Pipe / socket writes signal-interruptible. A `BrokenPipe` write sends `SIGPIPE` to the caller before returning `-EPIPE` — the documented dual contract; `cmd | head -N` patterns don't hang. The SIGPIPE half lives in `write_err_to_errno` and threads through `pwrite64` / `writev` / `pwritev` / `pwritev2` / `sendfile` / `splice` / `vmsplice` / `tee` / `copy_file_range`.
2,open,implemented,"Wraps `openat(AT_FDCWD, …)`. The legacy nameless `open(2)`; modern userland uses `openat`."
3,close,implemented,Drops the FD slot; OpenFile RC frees the inode handle.
4,stat,implemented,Routes through `resolve_path` + `pack_stat`. ABI 144-byte `struct stat` with full nlink/uid/gid/timestamps/blocks.
5,fstat,implemented,Fills `struct stat` (mode/size/kind only — uid/gid/atime are zeros).
6,lstat,implemented,Same as `stat` but doesn't follow the final symlink (path resolver returns the Symlink inode itself).
7,poll,implemented,"Per-fd `revents` from `Inode::poll().bits()`. Timeout via `kernel::timeout` deadline-park. Multi-fd-wait scans on each tick (10ms granularity, matching the documented `poll(2)` `timeout` argument's millisecond resolution and the Hz=100 wakeup floor). Cap of 64 fds matches typical container-runtime usage."
8,lseek,implemented,`SEEK_SET/CUR/END`.
9,mmap,implemented,"VMA-tracked, lazy fault-in via `kernel::mmap_fault` hook. `MAP_FIXED` / `MAP_FIXED_NOREPLACE` / addr-hint / arena-fallback all honored. Anonymous + file-backed MAP_PRIVATE + MAP_SHARED. MAP_SHARED file maps pin page-cache frames directly; writes through mappings land in the cache and `msync` writes back. `mremap` is the separate `mremap` row. `MAP_GROWSDOWN` accepted-not-honored. munmap unpins SHARED-file pages."
10,mprotect,implemented,`VmSpace::change_perms` walks 4 KiB pages and rewrites leaf-PTE flags; TLB shootdown after. PROT_NONE leaves PRESENT set (we don't yet clear it — the absence of READ alone doesn't unmap). PROT_GROWSUP / PROT_GROWSDOWN return EINVAL.
11,munmap,implemented,"Frees physical frames + invalidates local TLB; cross-CPU shootdown wired. Iterates page-by-page over the requested range, skipping unmapped pages — partial unmaps and over-aligned ranges both work."
12,brk,implemented,"Per-process heap window, clamped to `Process::brk.max`."
13,rt_sigaction,implemented,"Reads/writes the full 32-byte `struct kernel_sigaction { handler, flags, restorer, mask }`. `Process.sigactions[i]` stores all four fields. SA_NODEFER, SA_RESETHAND, SA_RESTORER, **SA_SIGINFO**, **SA_RESTART**, **SA_ONSTACK** all honored at delivery. SIGKILL/SIGSTOP can't be set. `sigsetsize` must be 8."
14,rt_sigprocmask,implemented,SIG_BLOCK / SIG_UNBLOCK / SIG_SETMASK against `Process.blocked_signals`. SIGKILL and SIGSTOP can't be blocked even if userland tries. `sigsetsize` must be 8.
15,rt_sigreturn,implemented,"Reads the ABI `ucontext_t` (936 B; sigcontext at offset 40, sigmask at 296, fpregs reserved at 424) from user `rsp`, restores every saved register into `tf`, restores the pre-handler blocked-signal mask. The signal frame is bit-for-bit the ABI `rt_sigframe` shape. Dispatcher skips post-syscall `deliver_pending_signals` after sigreturn so the restored `rax` survives back to userland verbatim."
16,ioctl,implemented,"TTY ioctls (`TIOCGWINSZ`, `TCGETS`/`TCSETS{,W,F}` with proper 36-byte termios, `TIOCGPGRP`/`TIOCSPGRP`/`TIOCSCTTY`), virtio-input ioctls. `ENOTTY` for unknown ops on TTY/CharDevice fds + non-CharDevice fds — the documented contract for an unsupported request on an otherwise-valid fd. New ioctl families wire as workloads exercise them."
17,pread64,implemented,
18,pwrite64,implemented,
19,readv,implemented,
20,writev,implemented,
21,access,implemented,"Real per-mode check via `Credentials::can_access` against the inode's owner/group/mode. ABI semantics: uses *real* (`ruid`/`rgid`) creds, not effective. Privileged caller bypasses (CAP_DAC_OVERRIDE-style)."
22,pipe,implemented,Reuses `pipe2` with flags=0.
23,select,implemented,"fd_set bitmaps marshalled to/from a pollfd buffer and waited via the shared `poll_wait` core (the lost-wake-guarded loop factored out of `poll`). Returns the count of ready (fd,set) bits; POLLNVAL in a set → EBADF. timeout is a `timeval` (NULL = block forever). Cap 64 fds."
24,sched_yield,implemented,Schedules into the per-CPU runqueue.
25,mremap,implemented,"Anon-VMA shrink + extend-in-place + `MREMAP_MAYMOVE` relocate. Whole-VMA only (partial-range remap = EINVAL); file-backed grow = EINVAL (deferred). `MREMAP_FIXED` / `MREMAP_DONTUNMAP` = EINVAL. Copy via `frame::user::copy_{from,to}_user` through a 4 KiB chunk so `kernel/` keeps `forbid(unsafe_code)`. Cgroup uncharged on shrink + relocate."
26,msync,implemented,"Walks SHARED file VMAs in `[addr, addr+length)` and calls `pagecache::writeback` for each. Conservative dirty-tracking (every writable SHARED faulted page is dirty until written back). MS_SYNC / MS_ASYNC / MS_INVALIDATE all map to synchronous writeback."
27,mincore,implemented,"Walks per-process VMAs, validates range coverage (-ENOMEM on holes), then for each page calls `VmSpace::translate` and writes 1 if mapped, 0 if not. Page-aligned addr required. Per `mincore(2)`: byte 0 of each output records the ""resident"" bit; other bits zero."
28,madvise,implemented,Accept-and-ignore for all hints — the common hints are advisory no-ops per `madvise(2)`. `MADV_DONTNEED` / `MADV_FREE` would benefit from lazy per-page reclaim we don't have yet. Wire DONTNEED to drop matching frames when an allocator-shaped workload demands it.
29,shmget,implemented,"Real SysV shm via `kernel::ipc::shm`. Allocates `Vec<PhysFrame>` per segment, zero-init, IPC_PRIVATE / IPC_CREAT / IPC_EXCL / key-based lookup, permission check from `creds`. SHMMAX = 1 GiB."
30,shmat,implemented,Maps the segment's frames into the calling process via `vm.map_one_frame` (no fresh alloc — the frames are owned by the segment). Records a `VmaBacking::Shm` so `shmdt` / `munmap` can identify it. Multi-process sharing works because the same physical frames are mapped into multiple page tables. SHM_RDONLY honored.
31,shmctl,implemented,IPC_RMID marks for deletion (segment dies when `attached==0`); IPC_STAT / IPC_SET accept-noop (typical SysV-shm users don't read the shmid_ds).
32,dup,implemented,
33,dup2,implemented,
34,pause,implemented,Pre-park signal-pending check + park on `signalfd_waiters`; any signal post wakes the parker. Always returns -EINTR per `pause(2)`.
35,nanosleep,implemented,"Real timer-driven park — registers a deadline on `kernel::timeout`, parks via `sched::park_self`; the LAPIC tick handler walks the expired-deadlines list and wakes us. Signal-interruptible: returns `-EINTR` and writes the remaining time to `rem` if the caller passed one."
36,getitimer,implemented,"Real ITIMER_REAL query: returns `(interval_ns, remaining_ns)` from `Process.itimer_real_interval_ns` / `_deadline_ns`, encoded as `struct itimerval`. ITIMER_VIRTUAL / PROF return zeros (no per-task user/system CPU split yet)."
37,alarm,implemented,"Wraps the existing ITIMER_REAL machinery: records the new deadline on `Process.itimer_real_deadline_ns`, registers `itimer_real_fire` callback via `crate::timeout`, returns the previously-armed alarm's seconds-remaining. `alarm(0)` cancels."
38,setitimer,implemented,"Real ITIMER_REAL arming: `value_ns=0` disarms; non-zero registers a `crate::timeout` callback at `now + value_ns` keyed by pid that posts SIGALRM and (if `interval_ns != 0`) re-registers itself for the next period. CBS-style drift-free advance. Cancelled on execve, exit, or fresh setitimer. ITIMER_VIRTUAL / PROF accept-noop until user/system CPU split lands."
39,getpid,implemented,"Returns `Process::tgid` (the thread group ID); for processes that haven't done CLONE_THREAD this equals the pid. CLONE_THREAD peers all return the leader's pid. Translated to caller's pid_ns; pid 1 inside a CLONE_NEWPID container, host pid outside."
40,sendfile,implemented,"Bounded copy through a 4 KiB kernel buffer. Honors the optional `offset_ptr` (when non-NULL, in_fd's position is unchanged and the offset is read/written through the pointer)."
41,socket,implemented,AF_INET + AF_UNIX (DGRAM via `socketpair` only); SOCK_NONBLOCK / SOCK_CLOEXEC propagated to OpenFile flags.
42,connect,implemented,TCP connect parks on the socket's wait queue until smoltcp completes the 3WHS. Iface context picked by destination: loopback addrs (127.x.x.x) route through `loop_iface`; everything else through eth0.
43,accept,implemented,"Real `accept`: listener has a backlog pool of N smoltcp sockets in `Listen`; accept finds an `Established` slot, swaps it for a fresh listener, returns the connection as a new fd. Honors O_NONBLOCK / parks on the listener's wait queue. Signal-interruptible — returns `-EINTR` on a deliverable signal during park."
44,sendto,implemented,UDP send (`addr` is the dest); TCP `sendto` ignores `addr` per the ABI.
45,recvfrom,implemented,Honors O_NONBLOCK: blocking → park on socket wait queue; non-blocking → -EAGAIN. Signal-interruptible — returns `-EINTR` on a deliverable signal during park.
46,sendmsg,implemented,Gathers the iovecs into one kernel buffer and writes through the fd (every socket family + ordinary files). `msg_name` / ancillary `SCM_*` data not surfaced.
47,recvmsg,implemented,Receives one message and scatters it across the iovecs; honors the fd's blocking mode via the underlying read. Source address / ancillary data reported empty.
48,shutdown,implemented,Real half-close. SHUT_RD makes recv return 0 (EOF); SHUT_WR sends FIN via smoltcp `close()` (TCP) and makes send return EPIPE; SHUT_RDWR both. Poll surfaces POLLHUP.
49,bind,implemented,A wildcard bind (port 0) on a UDP socket assigns an ephemeral port.
50,listen,implemented,"Backlog now allocates a real smoltcp listener pool, capped at `MAX_LISTEN_BACKLOG = 16`."
51,getsockname,implemented,
52,getpeername,implemented,reports the connected peer's address; -ENOTCONN if not connected. Shares the sockaddr copy-out path with getsockname.
53,socketpair,implemented,AF_UNIX SOCK_DGRAM only.
54,setsockopt,implemented,"Real per-option dispatch on `SockOpts`. Honors `SO_REUSEADDR`/`SO_REUSEPORT`/`SO_KEEPALIVE`/`SO_BROADCAST`/`SO_RCVBUF`/`SO_SNDBUF`/`SO_RCVTIMEO`/`SO_SNDTIMEO`/`SO_LINGER`/`TCP_NODELAY`/`IP_TTL`. Smoltcp-side calls for TCP_NODELAY (Nagle), SO_KEEPALIVE (60s interval), IP_TTL (hop limit). The documented ""double the buffer-size on set"" rule honored. Unknown options return ENOPROTOOPT."
55,getsockopt,implemented,"Reads from `SockOpts`. Reports `SO_TYPE` (SOCK_STREAM/DGRAM), `SO_PROTOCOL` (TCP/UDP), `SO_DOMAIN` (AF_INET), `SO_ERROR` (0; no async err yet), and every option `setsockopt` writes."
56,clone,implemented,"pthread-bundle (`CLONE_VM | CLONE_THREAD | CLONE_FS | CLONE_FILES | CLONE_SIGHAND`) routes to `clone_thread_current` — Arc-shared VmSpace + FdTable + sigactions, same tgid, distinct tid. Fork-equivalent flag sets route to fork with deep-copy fds/sigactions. CLONE_PARENT_SETTID / CLONE_CHILD_CLEARTID / CLONE_SETTLS honored. CLONE_VFORK parks parent on child's `vfork_done` queue (drained by exec/exit). CLONE_CHILD_SETTID honored for thread case (shared VmSpace); fork case deferred. `CLONE_NEWPID` stages a fresh pid_ns on the parent; the next forked child becomes pid 1 in the new ns. Returned pid + ptid/ctid writes are in the caller's pid_ns."
